label,index,OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type,idx,building_reference
commercial_0,23228,23228,1900,3,Commercial,260.0,5.879999999999998,Commerce,23228,8121130DG1082B
commercial_4,30059,30059,1974,3,Commercial,260.0,10.139999999999995,Commerce,30059,8818822DG1081B
commercial_3,17245,17245,1980,3,Commercial,75.0,5.89999999999999,Commerce,17245,7525421DG1072D
commercial_0,27670,27670,1950,3,Commercial,9.999999999999986,9.91,Commerce,27670,8612606DG1081B
commercial_3,15311,15311,1910,3,Commercial,79.99999999999999,7.959999999999985,Commerce,15311,7324430DG1072B
commercial_2,20232,20232,1968,3,Commercial,154.99999999999997,10.799999999999995,Commerce,20232,7822208DG1072B
commercial_1,15133,15133,2007,3,Commercial,79.99999999999999,24.999999999999986,Commerce,15133,7310641DG1071B
commercial_4,5015,5015,2001,3,Commercial,195.00000000000003,120.5,Commerce,5015,6117716DG1061B
commercial_3,20372,20372,1905,3,Commercial,260.0,8.519999999999994,Retail commerce,20372,7824810DG1072B
commercial_4,34763,34763,1980,3,Commercial,255.00000000000003,8.21,Commerce,34763,9415808DG1091B
commercial_2,10487,10487,1998,3,Commercial,245.0,69.23,Retail commerce,10487,6917414DG1061B
commercial_0,12702,12702,1961,3,Commercial,90.0,8.859999999999996,Commerce,12702,7113216DG1071B
commercial_5,10747,10747,1988,3,Commercial,260.0,12.919999999999995,Commerce,10747,6929811DG1062D
commercial_3,19035,19035,1880,3,Commercial,245.0,7.809999999999992,Commerce,19035,7712638DG1071B
commercial_6,10924,10924,1950,3,Commercial,54.999999999999986,16.189999999999994,Commerce,10924,6935205DG1063D
commercial_3,17047,17047,1900,3,Commercial,84.99999999999997,6.6499999999999915,Commerce,17047,7521728DG1072B
commercial_5,24949,24949,1970,3,Commercial,280.0,6.899999999999992,Commerce,24949,8325401DG1082D
commercial_5,36757,36757,1992,3,Commercial,245.0,9.249999999999988,Commerce,36757,9780502DF1998H
commercial_2,12961,12961,1989,3,Commercial,4.999999999999993,9.829999999999988,Commerce,12961,7117608DG1071B
commercial_0,15282,15282,1920,3,Commercial,349.99999999999994,7.779999999999996,Commerce,15282,7324408DG1072B
commercial_5,11988,11988,1979,3,Commercial,219.99999999999997,21.629999999999995,Commerce,11988,7030322DG1073D
commercial_5,33090,33090,1976,3,Commercial,124.99999999999999,7.59999999999999,Retail commerce,33090,9231803DG1093D
commercial_4,29742,29742,2017,3,Commercial,75.0,38.989999999999995,Supermarket commerce,29742,8810216DG1081B
commercial_2,36524,36524,1983,3,Commercial,189.99999999999997,11.839999999999995,Commerce,36524,9728313DG1092D
commercial_1,10545,10545,1990,3,Commercial,255.00000000000003,9.99,Commerce,10545,6917630DG1061B
commercial_4,15220,15220,1900,9,Commercial,69.99999999999997,8.779999999999998,Commerce,15220,7320302DG1072B
commercial_4,29482,29482,1970,3,Commercial,215.0,24.62,Commerce,29482,8734528DG1083D
commercial_0,12992,12992,2017,3,Commercial,90.0,9.719999999999994,Retail commerce,12992,7117812DG1071B
commercial_4,34470,34470,1960,3,Commercial,124.99999999999999,28.63,Commerce,34470,9335515DG1093D
commercial_4,16109,16109,1900,3,Commercial,79.99999999999999,8.239999999999997,Commerce,16109,7422332DG1072B
commercial_4,27601,27601,2000,3,Commercial,345.0,10.119999999999987,Commerce,27601,8609737DG1080B
commercial_4,34777,34777,1958,3,Commercial,345.0,11.599999999999998,Commerce,34777,9416805DG1091B
commercial_3,939,939,1991,3,Commercial,260.0,7.069999999999994,Commerce,939,0130513DG2003C
commercial_6,10702,10702,1999,3,Commercial,235.0,38.26,Commerce,10702,6927602DG1062D
commercial_1,10801,10801,1984,3,Commercial,219.99999999999997,47.88999999999999,Commerce,10801,6930412DG1063D
commercial_3,20366,20366,1930,3,Commercial,260.0,8.409999999999998,Retail commerce,20366,7824807DG1072B
commercial_3,36971,36971,1967,3,Commercial,94.99999999999999,12.989999999999991,Commerce,36971,9815006DG1091B
commercial_2,20226,20226,1992,3,Commercial,335.0,5.89999999999999,Commerce,20226,7822204DG1072B
commercial_3,28638,28638,1963,3,Commercial,255.00000000000003,9.809999999999993,Commerce,28638,8708225DG1080B
commercial_1,10753,10753,1990,3,Commercial,260.0,13.329999999999995,Commerce,10753,6929814DG1062D
commercial_3,27557,27557,1930,3,Commercial,255.00000000000003,10.039999999999988,Commerce,27557,8609339DG1080B
commercial_6,20277,20277,1900,3,Commercial,295.0,4.73999999999999,Retail commerce,20277,7822612DG1072B
commercial_3,6239,6239,1945,3,Commercial,99.99999999999999,11.73,Commerce,6239,6415026DG1061B
commercial_4,26878,26878,1994,3,Commercial,9.999999999999986,29.72999999999999,Commerce,26878,8525769DG1082D
commercial_3,9265,9265,1924,3,Commercial,75.0,9.899999999999997,Commerce,9265,6813804DG1061B
commercial_3,19192,19192,1929,3,Commercial,64.99999999999997,29.399999999999988,Commerce,19192,7714847DG1071B
commercial_0,10571,10571,2002,3,Commercial,94.99999999999999,15.289999999999997,Commerce,10571,6921201DG1062B
commercial_6,27967,27967,1925,3,Commercial,124.99999999999999,19.77,Commerce,27967,8623557DG1082B
commercial_6,20004,20004,2004,3,Commercial,349.99999999999994,21.649999999999988,Commerce,20004,7815120DG1071B
commercial_3,35779,35779,2014,6,Commercial,75.0,59.00999999999999,Commerce,35779,9619528DG1091B
commercial_3,32119,32119,1978,3,Commercial,255.00000000000003,11.919999999999995,Commerce,32119,9120135DG1092B
commercial_6,34415,34415,2003,3,Commercial,305.0,11.98,Commerce,34415,9330017DG1093D
commercial_4,29875,29875,1993,3,Commercial,255.00000000000003,13.599999999999985,Commerce,29875,8812701DG1081B
commercial_3,36510,36510,1981,3,Commercial,99.99999999999999,11.909999999999991,Retail commerce,36510,9728306DG1092D
commercial_3,19252,19252,1900,3,Commercial,115.0,9.219999999999992,Commerce,19252,7718334DG1071B
commercial_5,35639,35639,2013,3,Commercial,305.0,24.929999999999993,Commerce,35639,9534032DG1093D
commercial_3,29636,29636,1970,3,Commercial,260.0,12.02,Commerce,29636,8737618DG1083D
commercial_1,24343,24343,2002,3,Commercial,9.999999999999986,27.069999999999986,Commerce,24343,8226726DG1082D
commercial_2,18973,18973,1950,3,Commercial,345.0,14.129999999999997,Commerce,18973,7712602DG1071B
commercial_4,16861,16861,1900,3,Commercial,240.0,7.989999999999996,Commerce,16861,7518024DG1071B
commercial_0,13116,13116,2009,3,Commercial,94.99999999999999,31.569999999999997,Commerce,13116,7124076DG1072B
commercial_2,32905,32905,1954,3,Commercial,165.0,11.999999999999993,Commerce,32905,9219017DG1091B
commercial_0,28305,28305,1955,3,Commercial,79.99999999999999,11.869999999999992,Commerce,28305,8633216DG1083D
commercial_3,6437,6437,1958,3,Commercial,280.0,24.65,Commerce,6437,6418329DG1061B
commercial_4,37190,37190,1980,3,Commercial,215.0,23.699999999999996,Commerce,37190,9831111DG1093D
commercial_5,13274,13274,1943,3,Commercial,49.99999999999999,79.12,Retail commerce,13274,7134403DG1073D
commercial_2,8465,8465,1963,3,Commercial,180.0,10.019999999999998,Commerce,8465,6721618DG1062B
commercial_3,30430,30430,1930,3,Commercial,120.0,25.58999999999999,Commerce,30430,8833115DG1083D
commercial_2,14445,14445,2004,3,Commercial,205.0,23.04,Commerce,14445,7226455DG1072D
commercial_1,34039,34039,1970,3,Commercial,260.0,11.679999999999996,Retail commerce,34039,9321046DG1092B
commercial_2,18452,18452,1994,3,Commercial,260.0,9.889999999999995,Commerce,18452,7632301DG1073D
commercial_3,1197,1197,1960,3,Commercial,355.0,36.05,Commerce,1197,0236004DG2003C
commercial_0,8434,8434,1961,3,Commercial,260.0,9.859999999999998,Commerce,8434,6721213DG1062B
commercial_2,18980,18980,1880,3,Commercial,345.0,14.059999999999988,Commerce,18980,7712606DG1071B
commercial_0,23490,23490,1965,3,Commercial,79.99999999999999,13.77999999999999,Commerce,23490,8132612DG1083D
commercial_4,21604,21604,2003,3,Commercial,170.0,13.829999999999995,Commerce,21604,7930021DG1073D
commercial_3,23406,23406,1940,3,Commercial,170.0,13.769999999999989,Commerce,23406,8130110DG1083D
commercial_3,14482,14482,2002,3,Commercial,165.0,48.98,Commerce,14482,7227001DG1072D
